ImageA,ImageB,Match_Unmatch
Siamese\ATT_Data\s37\9.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s1\5.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s14\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s25\5.pgm,Siamese\ATT_Data\s25\3.pgm,1
Siamese\ATT_Data\s8\6.pgm,Siamese\ATT_Data\s8\7.pgm,1
Siamese\ATT_Data\s1\2.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s19\7.pgm,Siamese\ATT_Data\s19\4.pgm,1
Siamese\ATT_Data\s9\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s10\5.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s23\10.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s19\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s24\4.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s27\4.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s18\8.pgm,Siamese\ATT_Data\s18\2.pgm,1
Siamese\ATT_Data\s37\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s38\1.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s17\7.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s4\8.pgm,Siamese\ATT_Data\s4\3.pgm,1
Siamese\ATT_Data\s34\3.pgm,Siamese\ATT_Data\s34\2.pgm,1
Siamese\ATT_Data\s39\9.pgm,Siamese\ATT_Data\s39\6.pgm,1
Siamese\ATT_Data\s9\5.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s5\2.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s28\5.pgm,Siamese\ATT_Data\s28\10.pgm,1
Siamese\ATT_Data\s18\10.pgm,Siamese\ATT_Data\s18\8.pgm,1
Siamese\ATT_Data\s27\3.pgm,Siamese\ATT_Data\s27\10.pgm,1
Siamese\ATT_Data\s29\5.pgm,Siamese\ATT_Data\s29\4.pgm,1
Siamese\ATT_Data\s23\7.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s39\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s20\10.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s19\1.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s13\10.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s15\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s18\1.pgm,Siamese\ATT_Data\s18\2.pgm,1
Siamese\ATT_Data\s6\7.pgm,Siamese\ATT_Data\s6\3.pgm,1
Siamese\ATT_Data\s26\4.pgm,Siamese\ATT_Data\s26\3.pgm,1
Siamese\ATT_Data\s21\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s29\10.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s21\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s15\2.pgm,Siamese\ATT_Data\s15\5.pgm,1
Siamese\ATT_Data\s12\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s21\10.pgm,Siamese\ATT_Data\s21\1.pgm,1
Siamese\ATT_Data\s12\10.pgm,Siamese\ATT_Data\s12\8.pgm,1
Siamese\ATT_Data\s31\6.pgm,Siamese\ATT_Data\s31\9.pgm,1
Siamese\ATT_Data\s28\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s3\8.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s10\8.pgm,Siamese\ATT_Data\s10\4.pgm,1
Siamese\ATT_Data\s32\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s22\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s23\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s21\6.pgm,Siamese\ATT_Data\s21\9.pgm,1
Siamese\ATT_Data\s20\4.pgm,Siamese\ATT_Data\s20\1.pgm,1
Siamese\ATT_Data\s12\3.pgm,Siamese\ATT_Data\s12\9.pgm,1
Siamese\ATT_Data\s32\7.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s13\2.pgm,Siamese\ATT_Data\s13\1.pgm,1
Siamese\ATT_Data\s40\5.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s13\4.pgm,Siamese\ATT_Data\s13\1.pgm,1
Siamese\ATT_Data\s17\4.pgm,Siamese\ATT_Data\s17\2.pgm,1
Siamese\ATT_Data\s11\8.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s22\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s19\8.pgm,Siamese\ATT_Data\s19\4.pgm,1
Siamese\ATT_Data\s25\3.pgm,Siamese\ATT_Data\s25\10.pgm,1
Siamese\ATT_Data\s30\8.pgm,Siamese\ATT_Data\s30\8.pgm,1
Siamese\ATT_Data\s18\6.pgm,Siamese\ATT_Data\s18\4.pgm,1
Siamese\ATT_Data\s24\4.pgm,Siamese\ATT_Data\s24\10.pgm,1
Siamese\ATT_Data\s38\8.pgm,Siamese\ATT_Data\s38\2.pgm,1
Siamese\ATT_Data\s3\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s18\4.pgm,Siamese\ATT_Data\s18\2.pgm,1
Siamese\ATT_Data\s19\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s28\5.pgm,Siamese\ATT_Data\s28\8.pgm,1
Siamese\ATT_Data\s15\1.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s27\2.pgm,Siamese\ATT_Data\s27\10.pgm,1
Siamese\ATT_Data\s10\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s18\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s9\5.pgm,Siamese\ATT_Data\s9\3.pgm,1
Siamese\ATT_Data\s37\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s22\10.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s3\10.pgm,Siamese\ATT_Data\s3\7.pgm,1
Siamese\ATT_Data\s27\4.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s22\3.pgm,Siamese\ATT_Data\s22\1.pgm,1
Siamese\ATT_Data\s19\6.pgm,Siamese\ATT_Data\s19\4.pgm,1
Siamese\ATT_Data\s28\1.pgm,Siamese\ATT_Data\s28\3.pgm,1
Siamese\ATT_Data\s26\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s23\6.pgm,Siamese\ATT_Data\s23\4.pgm,1
Siamese\ATT_Data\s12\5.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s9\3.pgm,Siamese\ATT_Data\s9\4.pgm,1
Siamese\ATT_Data\s37\5.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s3\6.pgm,Siamese\ATT_Data\s3\5.pgm,1
Siamese\ATT_Data\s7\8.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s4\4.pgm,Siamese\ATT_Data\s4\3.pgm,1
Siamese\ATT_Data\s29\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s38\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s28\9.pgm,Siamese\ATT_Data\s28\10.pgm,1
Siamese\ATT_Data\s26\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s11\5.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s30\4.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s20\6.pgm,Siamese\ATT_Data\s20\5.pgm,1
Siamese\ATT_Data\s6\4.pgm,Siamese\ATT_Data\s6\3.pgm,1
Siamese\ATT_Data\s2\10.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s38\4.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s18\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s30\10.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s3\10.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s31\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s15\7.pgm,Siamese\ATT_Data\s15\4.pgm,1
Siamese\ATT_Data\s30\3.pgm,Siamese\ATT_Data\s30\2.pgm,1
Siamese\ATT_Data\s7\6.pgm,Siamese\ATT_Data\s7\8.pgm,1
Siamese\ATT_Data\s11\5.pgm,Siamese\ATT_Data\s11\4.pgm,1
Siamese\ATT_Data\s19\1.pgm,Siamese\ATT_Data\s19\4.pgm,1
Siamese\ATT_Data\s3\6.pgm,Siamese\ATT_Data\s3\8.pgm,1
Siamese\ATT_Data\s39\7.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s11\2.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s37\10.pgm,Siamese\ATT_Data\s37\9.pgm,1
Siamese\ATT_Data\s23\3.pgm,Siamese\ATT_Data\s23\2.pgm,1
Siamese\ATT_Data\s4\3.pgm,Siamese\ATT_Data\s4\10.pgm,1
Siamese\ATT_Data\s16\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s11\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s22\2.pgm,Siamese\ATT_Data\s22\8.pgm,1
Siamese\ATT_Data\s40\1.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s24\3.pgm,Siamese\ATT_Data\s24\10.pgm,1
Siamese\ATT_Data\s34\8.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s36\7.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s33\9.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s38\7.pgm,Siamese\ATT_Data\s38\10.pgm,1
Siamese\ATT_Data\s10\10.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s34\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s35\8.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s20\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s28\6.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s28\2.pgm,Siamese\ATT_Data\s28\8.pgm,1
Siamese\ATT_Data\s35\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s17\8.pgm,Siamese\ATT_Data\s17\3.pgm,1
Siamese\ATT_Data\s17\6.pgm,Siamese\ATT_Data\s17\3.pgm,1
Siamese\ATT_Data\s34\2.pgm,Siamese\ATT_Data\s34\9.pgm,1
Siamese\ATT_Data\s15\8.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s12\2.pgm,Siamese\ATT_Data\s12\9.pgm,1
Siamese\ATT_Data\s30\3.pgm,Siamese\ATT_Data\s30\8.pgm,1
Siamese\ATT_Data\s1\3.pgm,Siamese\ATT_Data\s1\1.pgm,1
Siamese\ATT_Data\s33\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s39\8.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s21\3.pgm,Siamese\ATT_Data\s21\9.pgm,1
Siamese\ATT_Data\s1\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s28\3.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s3\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s23\10.pgm,Siamese\ATT_Data\s23\8.pgm,1
Siamese\ATT_Data\s37\2.pgm,Siamese\ATT_Data\s37\2.pgm,1
Siamese\ATT_Data\s11\7.pgm,Siamese\ATT_Data\s11\9.pgm,1
Siamese\ATT_Data\s27\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s39\1.pgm,Siamese\ATT_Data\s39\6.pgm,1
Siamese\ATT_Data\s24\6.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s33\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s31\7.pgm,Siamese\ATT_Data\s31\7.pgm,1
Siamese\ATT_Data\s39\8.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s39\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s35\1.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s1\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s33\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s33\2.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s26\8.pgm,Siamese\ATT_Data\s26\7.pgm,1
Siamese\ATT_Data\s36\2.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s17\2.pgm,Siamese\ATT_Data\s17\2.pgm,1
Siamese\ATT_Data\s4\4.pgm,Siamese\ATT_Data\s4\5.pgm,1
Siamese\ATT_Data\s2\5.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s17\6.pgm,Siamese\ATT_Data\s17\4.pgm,1
Siamese\ATT_Data\s23\1.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s23\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s18\4.pgm,Siamese\ATT_Data\s18\4.pgm,1
Siamese\ATT_Data\s37\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s20\4.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s39\7.pgm,Siamese\ATT_Data\s39\5.pgm,1
Siamese\ATT_Data\s28\2.pgm,Siamese\ATT_Data\s28\9.pgm,1
Siamese\ATT_Data\s2\5.pgm,Siamese\ATT_Data\s2\1.pgm,1
Siamese\ATT_Data\s37\10.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s32\1.pgm,Siamese\ATT_Data\s32\7.pgm,1
Siamese\ATT_Data\s10\4.pgm,Siamese\ATT_Data\s10\6.pgm,1
Siamese\ATT_Data\s40\4.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s11\5.pgm,Siamese\ATT_Data\s11\9.pgm,1
Siamese\ATT_Data\s40\10.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s32\2.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s18\7.pgm,Siamese\ATT_Data\s18\4.pgm,1
Siamese\ATT_Data\s21\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s16\9.pgm,Siamese\ATT_Data\s16\8.pgm,1
Siamese\ATT_Data\s32\8.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s22\6.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s31\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s29\1.pgm,Siamese\ATT_Data\s29\3.pgm,1
Siamese\ATT_Data\s30\4.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s17\3.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s7\5.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s9\1.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s7\10.pgm,Siamese\ATT_Data\s7\2.pgm,1
Siamese\ATT_Data\s2\1.pgm,Siamese\ATT_Data\s2\1.pgm,1
Siamese\ATT_Data\s27\2.pgm,Siamese\ATT_Data\s27\6.pgm,1
Siamese\ATT_Data\s38\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s22\10.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s12\5.pgm,Siamese\ATT_Data\s12\9.pgm,1
Siamese\ATT_Data\s18\9.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s16\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s6\9.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s27\2.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s4\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s40\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s4\3.pgm,Siamese\ATT_Data\s29\2.pgm,0
Siamese\ATT_Data\s30\3.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s37\6.pgm,Siamese\ATT_Data\s37\5.pgm,1
Siamese\ATT_Data\s2\7.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s25\5.pgm,Siamese\ATT_Data\s25\10.pgm,1
Siamese\ATT_Data\s34\1.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s36\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s2\8.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s38\9.pgm,Siamese\ATT_Data\s38\3.pgm,1
Siamese\ATT_Data\s2\1.pgm,Siamese\ATT_Data\s2\3.pgm,1
Siamese\ATT_Data\s7\6.pgm,Siamese\ATT_Data\s7\10.pgm,1
Siamese\ATT_Data\s5\8.pgm,Siamese\ATT_Data\s5\3.pgm,1
Siamese\ATT_Data\s39\10.pgm,Siamese\ATT_Data\s39\4.pgm,1
Siamese\ATT_Data\s35\6.pgm,Siamese\ATT_Data\s35\6.pgm,1
Siamese\ATT_Data\s20\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s3\6.pgm,Siamese\ATT_Data\s20\7.pgm,0
Siamese\ATT_Data\s30\3.pgm,Siamese\ATT_Data\s30\9.pgm,1
Siamese\ATT_Data\s32\6.pgm,Siamese\ATT_Data\s32\1.pgm,1
Siamese\ATT_Data\s28\8.pgm,Siamese\ATT_Data\s28\10.pgm,1
Siamese\ATT_Data\s25\5.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s4\10.pgm,Siamese\ATT_Data\s4\3.pgm,1
Siamese\ATT_Data\s1\9.pgm,Siamese\ATT_Data\s1\4.pgm,1
Siamese\ATT_Data\s32\2.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s8\1.pgm,Siamese\ATT_Data\s8\8.pgm,1
Siamese\ATT_Data\s37\2.pgm,Siamese\ATT_Data\s37\5.pgm,1
Siamese\ATT_Data\s22\2.pgm,Siamese\ATT_Data\s22\5.pgm,1
Siamese\ATT_Data\s36\6.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s24\9.pgm,Siamese\ATT_Data\s24\10.pgm,1
Siamese\ATT_Data\s39\9.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s39\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s28\1.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s6\9.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s1\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s34\2.pgm,Siamese\ATT_Data\s34\5.pgm,1
Siamese\ATT_Data\s14\3.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s30\7.pgm,Siamese\ATT_Data\s40\4.pgm,0
Siamese\ATT_Data\s9\2.pgm,Siamese\ATT_Data\s9\1.pgm,1
Siamese\ATT_Data\s20\9.pgm,Siamese\ATT_Data\s20\2.pgm,1
Siamese\ATT_Data\s36\8.pgm,Siamese\ATT_Data\s36\10.pgm,1
Siamese\ATT_Data\s2\2.pgm,Siamese\ATT_Data\s2\7.pgm,1
Siamese\ATT_Data\s34\5.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s16\5.pgm,Siamese\ATT_Data\s16\8.pgm,1
Siamese\ATT_Data\s1\8.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s15\4.pgm,Siamese\ATT_Data\s15\2.pgm,1
Siamese\ATT_Data\s39\5.pgm,Siamese\ATT_Data\s39\4.pgm,1
Siamese\ATT_Data\s7\6.pgm,Siamese\ATT_Data\s24\8.pgm,0
Siamese\ATT_Data\s39\1.pgm,Siamese\ATT_Data\s39\4.pgm,1
Siamese\ATT_Data\s29\4.pgm,Siamese\ATT_Data\s29\2.pgm,1
Siamese\ATT_Data\s21\4.pgm,Siamese\ATT_Data\s21\6.pgm,1
Siamese\ATT_Data\s21\10.pgm,Siamese\ATT_Data\s30\9.pgm,0
Siamese\ATT_Data\s11\7.pgm,Siamese\ATT_Data\s4\2.pgm,0
Siamese\ATT_Data\s32\4.pgm,Siamese\ATT_Data\s32\1.pgm,1
Siamese\ATT_Data\s22\7.pgm,Siamese\ATT_Data\s22\9.pgm,1
